candidate_id,composite_score,semantic_score,skill_score,structural_score,behavioral_score,current_title,current_company,location,years_of_experience
CAND_0037566,0.6884,0.776,0.25,1.0,0.7715,Machine Learning Engineer,LinkedIn,"Bangalore, Karnataka",6.9
CAND_0005260,0.6879,0.7814,0.4167,0.85,0.701,Senior NLP Engineer,Netflix,"Chennai, Tamil Nadu",5.2
CAND_0062247,0.6872,0.7977,0.3333,0.85,0.7735,AI Engineer,Google,"Kochi, Kerala",7.3
CAND_0046459,0.6864,0.7616,0.4167,0.8,0.7785,AI Research Engineer,upGrad,"Pune, Maharashtra",4.5
CAND_0008295,0.6863,0.7524,0.25,1.0,0.802,AI Research Engineer,Razorpay,"Pune, Maharashtra",6.5
CAND_0079387,0.6857,0.7629,0.3333,0.85,0.8265,AI Engineer,Microsoft,"Trivandrum, Kerala",6.9
CAND_0005649,0.6856,0.7726,0.3333,1.0,0.6595,Senior Data Scientist,Sarvam AI,"Delhi, Delhi",7.4
CAND_0052682,0.6849,0.7553,0.4167,0.85,0.732,NLP Engineer,Aganitha,"Vizag, Andhra Pradesh",6.6
CAND_0030468,0.6849,0.7867,0.3333,0.85,0.781,Senior Applied Scientist,Swiggy,"Indore, Madhya Pradesh",5.4
CAND_0036184,0.6848,0.7708,0.3333,0.85,0.8085,Recommendation Systems Engineer,CRED,"Trivandrum, Kerala",6.0
CAND_0043860,0.6838,0.7616,0.3333,0.85,0.8195,Junior ML Engineer,Aganitha,"Bhubaneswar, Odisha",6.1
CAND_0045250,0.6828,0.7692,0.3333,1.0,0.6515,Applied ML Engineer,Rephrase.ai,"Delhi, Delhi",6.6
CAND_0075469,0.6813,0.748,0.4167,1.0,0.5765,Customer Support,Pied Piper,"Hyderabad, Telangana",5.4
CAND_0052328,0.6813,0.7748,0.25,1.0,0.738,Recommendation Systems Engineer,Amazon,"Pune, Maharashtra",6.5
CAND_0055905,0.681,0.8111,0.4167,0.7,0.7645,Senior Machine Learning Engineer,Flipkart,London,8.1
CAND_0081852,0.6803,0.7766,0.25,1.0,0.73,Senior Data Scientist,Mad Street Den,"Delhi, Delhi",5.9
CAND_0077498,0.6798,0.7758,0.3333,0.85,0.775,Senior Software Engineer (ML),Niramai,"Ahmedabad, Gujarat",5.4
CAND_0018888,0.6795,0.7516,0.25,1.0,0.7695,AI Research Engineer,Razorpay,"Noida, Uttar Pradesh",6.5
CAND_0018701,0.6793,0.7372,0.3333,1.0,0.69,Junior ML Engineer,Krutrim,"Delhi, Delhi",6.0
CAND_0024878,0.6787,0.7615,0.3333,0.85,0.794,AI Specialist,HCL,"Vizag, Andhra Pradesh",5.7
CAND_0008425,0.6785,0.7825,0.4167,0.85,0.6525,Senior NLP Engineer,Ola,"Kolkata, West Bengal",7.8
CAND_0037160,0.6778,0.7212,0.3333,1.0,0.71,Data Scientist,Haptik,"Mumbai, Maharashtra",6.0
CAND_0048558,0.6777,0.7329,0.25,1.0,0.7935,Data Scientist,Rephrase.ai,"Noida, Uttar Pradesh",6.7
CAND_0093912,0.6775,0.7911,0.25,0.85,0.8405,Senior Data Scientist,Razorpay,"Chandigarh, Chandigarh",5.3
CAND_0088240,0.6768,0.7137,0.3333,1.0,0.7185,Content Writer,Hooli,"Bangalore, Karnataka",7.7
CAND_0070514,0.6766,0.7254,0.25,1.0,0.801,AI Specialist,Glance,"Bangalore, Karnataka",5.5
CAND_0062413,0.6763,0.7315,0.3333,1.0,0.685,AI Research Engineer,upGrad,"Mumbai, Maharashtra",6.6
CAND_0025640,0.676,0.7644,0.3333,0.85,0.7755,AI Research Engineer,HCL,"Jaipur, Rajasthan",5.6
CAND_0070525,0.6757,0.8035,0.1667,1.0,0.764,Senior Software Engineer (ML),Mad Street Den,"Hyderabad, Telangana",5.4
CAND_0068811,0.674,0.7538,0.25,1.0,0.7385,Applied ML Engineer,Freshworks,"Pune, Maharashtra",8.0
CAND_0030946,0.6737,0.7331,0.3333,1.0,0.669,Junior ML Engineer,Yellow.ai,"Mumbai, Maharashtra",6.7
CAND_0070202,0.6731,0.8017,0.4167,0.85,0.5915,Machine Learning Engineer,BYJU'S,"Jaipur, Rajasthan",5.1
CAND_0010257,0.673,0.7617,0.25,1.0,0.7195,Senior Data Scientist,Google,"Noida, Uttar Pradesh",6.5
CAND_0099806,0.6729,0.8118,0.3333,0.65,0.8775,AI Engineer,Mad Street Den,"Bhubaneswar, Odisha",4.6
CAND_0042506,0.6726,0.7982,0.3333,0.8,0.7495,Search Engineer,Verloop.io,"Mumbai, Maharashtra",4.2
CAND_0018094,0.6724,0.7333,0.3333,1.0,0.662,ML Engineer,Mad Street Den,"Bangalore, Karnataka",5.2
CAND_0075574,0.6716,0.7495,0.25,1.0,0.734,Machine Learning Engineer,Haptik,"Bangalore, Karnataka",5.7
CAND_0015578,0.671,0.7701,0.3333,1.0,0.591,AI Engineer,Zoho,"Delhi, Delhi",5.4
CAND_0051004,0.671,0.7867,0.3333,0.8,0.7615,Senior Data Scientist,CRED,"Delhi, Delhi",4.7
CAND_0024620,0.6708,0.7829,0.5,0.7,0.659,AI Engineer,PharmEasy,New York,5.9
CAND_0086022,0.6708,0.8119,0.25,0.85,0.7705,Senior Applied Scientist,Sarvam AI,"Kolkata, West Bengal",5.3
CAND_0080766,0.6706,0.7863,0.3333,0.85,0.7105,Staff Machine Learning Engineer,Salesforce,"Coimbatore, Tamil Nadu",8.8
CAND_0073007,0.6699,0.779,0.1667,1.0,0.778,AI Specialist,Aganitha,"Bangalore, Karnataka",5.8
CAND_0010603,0.6698,0.7279,0.25,1.0,0.7625,ML Engineer,BYJU'S,"Bangalore, Karnataka",5.3
CAND_0083307,0.6696,0.7871,0.4167,0.85,0.6,Search Engineer,CRED,"Vizag, Andhra Pradesh",7.8
CAND_0036598,0.6691,0.6773,0.4167,1.0,0.6395,Civil Engineer,Initech,"Mumbai, Maharashtra",7.3
CAND_0042029,0.6691,0.7897,0.25,1.0,0.651,Senior Data Scientist,Flipkart,"Delhi, Delhi",6.5
CAND_0094292,0.669,0.7676,0.25,1.0,0.689,AI Specialist,Vedantu,"Mumbai, Maharashtra",6.5
CAND_0075318,0.6687,0.7327,0.4167,1.0,0.5405,Operations Manager,Initech,"Noida, Uttar Pradesh",9.0
CAND_0020954,0.6673,0.7093,0.3333,1.0,0.6785,Senior Software Engineer,Swiggy,"Pune, Maharashtra",7.1
CAND_0033445,0.6671,0.7385,0.3333,0.85,0.7765,ML Engineer,Vedantu,"Ahmedabad, Gujarat",6.8
CAND_0095528,0.6671,0.7879,0.3333,0.85,0.69,Senior Data Scientist,Netflix,"Indore, Madhya Pradesh",5.3
CAND_0098952,0.667,0.7585,0.4167,0.85,0.6365,AI Research Engineer,CRED,"Gurgaon, Haryana",5.5
CAND_0007460,0.667,0.7959,0.4167,0.8,0.6215,AI Engineer,Salesforce,"Pune, Maharashtra",4.7
CAND_0022870,0.6668,0.7146,0.5,0.85,0.6085,AI Specialist,HCL,"Ahmedabad, Gujarat",6.7
CAND_0050454,0.6668,0.7937,0.1667,1.0,0.7365,AI Engineer,Rephrase.ai,"Delhi, Delhi",6.8
CAND_0079764,0.6667,0.7191,0.4167,1.0,0.5545,Customer Support,Pied Piper,"Delhi, Delhi",8.9
CAND_0005538,0.6663,0.8081,0.25,0.85,0.7545,Senior AI Engineer,Adobe,"Kolkata, West Bengal",5.9
CAND_0011162,0.666,0.7656,0.3333,0.85,0.7235,Recommendation Systems Engineer,upGrad,"Coimbatore, Tamil Nadu",5.8
CAND_0091358,0.6659,0.7292,0.4167,1.0,0.5325,Business Analyst,Acme Corp,"Mumbai, Maharashtra",6.6
CAND_0071300,0.6657,0.7032,0.4167,1.0,0.577,Sales Executive,Acme Corp,"Hyderabad, Telangana",9.0
CAND_0066395,0.6655,0.7151,0.4167,1.0,0.555,Sales Executive,Pied Piper,"Pune, Maharashtra",6.7
CAND_0071321,0.6649,0.7631,0.3333,1.0,0.5725,Senior Software Engineer,Meesho,"Bangalore, Karnataka",6.4
CAND_0072688,0.6648,0.7101,0.25,1.0,0.769,Data Scientist,Niramai,"Pune, Maharashtra",6.9
CAND_0089947,0.6648,0.7291,0.3333,1.0,0.6315,Junior ML Engineer,Saarthi.ai,"Noida, Uttar Pradesh",5.4
CAND_0005311,0.6648,0.7537,0.25,1.0,0.6925,AI Research Engineer,Aganitha,"Mumbai, Maharashtra",5.7
CAND_0096466,0.6643,0.7174,0.3333,1.0,0.6495,HR Manager,Pied Piper,"Noida, Uttar Pradesh",7.0
CAND_0092255,0.6643,0.7319,0.25,1.0,0.728,ML Engineer,InMobi,"Noida, Uttar Pradesh",5.2
CAND_0046924,0.6639,0.7619,0.3333,1.0,0.5695,Computer Vision Engineer,PharmEasy,"Noida, Uttar Pradesh",6.3
CAND_0081480,0.6638,0.7536,0.25,1.0,0.6875,Computer Vision Engineer,Sarvam AI,"Noida, Uttar Pradesh",5.6
CAND_0082973,0.6635,0.774,0.4167,0.85,0.592,AI Specialist,Genpact AI,"Chandigarh, Chandigarh",6.4
CAND_0073314,0.6634,0.7539,0.1667,1.0,0.789,Senior Software Engineer (ML),Aganitha,"Noida, Uttar Pradesh",5.2
CAND_0048079,0.663,0.6938,0.4167,1.0,0.58,Sales Executive,Hooli,"Noida, Uttar Pradesh",7.8
CAND_0027640,0.6627,0.7317,0.4167,1.0,0.512,Marketing Manager,Globex Inc,"Bangalore, Karnataka",8.7
CAND_0079064,0.6626,0.7554,0.25,1.0,0.6785,Senior Data Scientist,Niramai,"Noida, Uttar Pradesh",5.2
CAND_0030784,0.6625,0.7293,0.4167,0.8,0.7155,Data Scientist,Yellow.ai,"Delhi, Delhi",4.4
CAND_0024216,0.6624,0.7311,0.4167,1.0,0.512,Operations Manager,Pied Piper,"Delhi, Delhi",7.1
CAND_0013440,0.6623,0.7406,0.25,1.0,0.703,Senior Data Engineer,upGrad,"Noida, Uttar Pradesh",7.2
CAND_0072407,0.662,0.7042,0.4167,0.85,0.707,Civil Engineer,Hooli,"Chennai, Tamil Nadu",7.3
CAND_0068932,0.6619,0.7285,0.1667,1.0,0.8265,ML Engineer,Krutrim,"Noida, Uttar Pradesh",5.2
CAND_0098780,0.6618,0.7752,0.25,1.0,0.64,AI Research Engineer,Zomato,"Bangalore, Karnataka",5.9
CAND_0067717,0.6617,0.7404,0.3333,1.0,0.596,AI Specialist,Aganitha,"Noida, Uttar Pradesh",6.9
CAND_0077285,0.6616,0.7475,0.3333,0.85,0.733,Recommendation Systems Engineer,Nykaa,"Ahmedabad, Gujarat",5.5
CAND_0011383,0.6612,0.7099,0.4167,1.0,0.5425,Mechanical Engineer,Wayne Enterprises,"Noida, Uttar Pradesh",6.6
CAND_0081203,0.6611,0.7127,0.4167,0.85,0.6875,Operations Manager,Wayne Enterprises,"Vizag, Andhra Pradesh",7.7
CAND_0091899,0.6611,0.7755,0.3333,1.0,0.5315,Senior Software Engineer (ML),PhonePe,"Delhi, Delhi",5.8
CAND_0053472,0.661,0.7772,0.4167,1.0,0.424,Senior Software Engineer (ML),HCL,"Noida, Uttar Pradesh",6.5
CAND_0004402,0.6608,0.7771,0.1667,1.0,0.736,AI Research Engineer,Yellow.ai,"Delhi, Delhi",6.0
CAND_0084819,0.6602,0.7962,0.4167,0.65,0.7365,Search Engineer,Dream11,"Indore, Madhya Pradesh",4.5
CAND_0029996,0.66,0.7222,0.3333,1.0,0.6195,Mechanical Engineer,Acme Corp,"Hyderabad, Telangana",8.5
CAND_0093883,0.6599,0.7262,0.4167,0.85,0.658,AI Research Engineer,Wysa,"Bhubaneswar, Odisha",5.0
CAND_0017090,0.6598,0.7763,0.25,0.85,0.778,Senior Software Engineer (ML),Paytm,"Kochi, Kerala",5.5
CAND_0066758,0.6597,0.7217,0.4167,1.0,0.5145,Project Manager,Hooli,"Noida, Uttar Pradesh",8.9
CAND_0043829,0.6593,0.7683,0.3333,0.8,0.7355,AI Research Engineer,Observe.AI,"Bangalore, Karnataka",4.8
CAND_0040200,0.6585,0.7524,0.3333,1.0,0.559,AI Research Engineer,PharmEasy,"Pune, Maharashtra",5.5
CAND_0082137,0.6584,0.7175,0.4167,1.0,0.5155,Operations Manager,Globex Inc,"Hyderabad, Telangana",7.4
CAND_0098454,0.6584,0.759,0.25,0.85,0.801,AI Specialist,Meesho,"Indore, Madhya Pradesh",6.6
CAND_0090656,0.6582,0.6863,0.4167,1.0,0.569,Graphic Designer,Stark Industries,"Pune, Maharashtra",5.1
CAND_0077219,0.6577,0.7193,0.4167,1.0,0.509,Project Manager,Initech,"Hyderabad, Telangana",5.4
CAND_0017093,0.6575,0.7004,0.25,1.0,0.7495,ML Engineer,Zoho,"Hyderabad, Telangana",5.9
CAND_0049538,0.6574,0.7748,0.25,0.85,0.7685,Applied ML Engineer,Saarthi.ai,"Jaipur, Rajasthan",5.8
CAND_0002336,0.6573,0.6826,0.4167,1.0,0.571,Accountant,Hooli,"Noida, Uttar Pradesh",8.7
CAND_0014320,0.6568,0.7044,0.4167,1.0,0.5305,Customer Support,Globex Inc,"Bangalore, Karnataka",5.2
CAND_0038247,0.6567,0.7017,0.4167,1.0,0.5345,Content Writer,Wayne Enterprises,"Hyderabad, Telangana",8.8
CAND_0076412,0.6567,0.7582,0.3333,1.0,0.54,AI Research Engineer,Wysa,"Noida, Uttar Pradesh",5.8
CAND_0058688,0.6566,0.7619,0.4167,0.7,0.729,AI Engineer,Vedantu,Berlin,6.7
CAND_0076526,0.6565,0.7267,0.4167,1.0,0.49,Customer Support,Globex Inc,"Noida, Uttar Pradesh",7.0
CAND_0024526,0.6564,0.7234,0.3333,1.0,0.5995,Sales Executive,Initech,"Mumbai, Maharashtra",5.2
CAND_0061265,0.6559,0.7932,0.25,1.0,0.579,Recommendation Systems Engineer,Zoho,"Delhi, Delhi",6.6
CAND_0049120,0.6558,0.6803,0.3333,1.0,0.672,Project Manager,Wayne Enterprises,"Pune, Maharashtra",7.4
CAND_0066623,0.6558,0.7454,0.25,1.0,0.662,Senior Data Engineer,Nykaa,"Hyderabad, Telangana",6.3
CAND_0065195,0.6557,0.8024,0.1667,0.85,0.816,Search Engineer,CRED,"Kolkata, West Bengal",5.1
CAND_0032919,0.6556,0.7196,0.4167,1.0,0.498,Project Manager,Stark Industries,"Delhi, Delhi",7.0
CAND_0016317,0.6543,0.7231,0.4167,0.85,0.635,Project Manager,Acme Corp,"Ahmedabad, Gujarat",6.5
CAND_0044222,0.6542,0.7844,0.25,0.85,0.736,AI Engineer,PolicyBazaar,"Vizag, Andhra Pradesh",7.7
CAND_0000803,0.6538,0.7163,0.4167,1.0,0.4945,Marketing Manager,Initech,"Delhi, Delhi",6.7
CAND_0051630,0.6538,0.7633,0.4167,0.85,0.5625,Machine Learning Engineer,Razorpay,"Kolkata, West Bengal",6.0
CAND_0094759,0.6536,0.8081,0.25,1.0,0.541,Lead AI Engineer,Meta,"Mumbai, Maharashtra",8.6
CAND_0086512,0.6535,0.7237,0.3333,1.0,0.5845,Marketing Manager,Wayne Enterprises,"Delhi, Delhi",5.2
CAND_0007412,0.6535,0.7408,0.25,1.0,0.6585,Applied ML Engineer,Zoho,"Noida, Uttar Pradesh",7.4
CAND_0093763,0.6535,0.7603,0.1667,1.0,0.7285,Senior Software Engineer (ML),Swiggy,"Noida, Uttar Pradesh",5.0
CAND_0053591,0.6534,0.7637,0.3333,0.7,0.814,AI Engineer,Ola,Toronto,5.3
CAND_0057736,0.6533,0.7495,0.3333,0.85,0.6885,Computer Vision Engineer,Mad Street Den,"Coimbatore, Tamil Nadu",6.2
CAND_0001206,0.6532,0.6932,0.3333,1.0,0.6365,Civil Engineer,Initech,"Pune, Maharashtra",8.8
CAND_0026640,0.653,0.7446,0.3333,0.85,0.6955,Computer Vision Engineer,Observe.AI,"Ahmedabad, Gujarat",6.1
CAND_0046434,0.6528,0.7155,0.3333,1.0,0.595,Sales Executive,Dunder Mifflin,"Pune, Maharashtra",7.8
CAND_0071880,0.6528,0.7713,0.25,1.0,0.602,Senior Software Engineer (ML),Locobuzz,"Bangalore, Karnataka",5.8
CAND_0026621,0.6527,0.7104,0.4167,1.0,0.4995,Operations Manager,Initech,"Pune, Maharashtra",8.2
CAND_0088385,0.6523,0.7472,0.25,1.0,0.6415,Computer Vision Engineer,Swiggy,"Bangalore, Karnataka",7.0
CAND_0024947,0.6522,0.7801,0.3333,0.85,0.629,AI Research Engineer,HCL,"Trivandrum, Kerala",6.1
CAND_0098723,0.6521,0.7253,0.4167,1.0,0.4705,Business Analyst,Stark Industries,"Delhi, Delhi",5.5
CAND_0086479,0.6521,0.7313,0.4167,1.0,0.46,Accountant,Acme Corp,"Delhi, Delhi",5.0
CAND_0066035,0.6521,0.7417,0.3333,0.85,0.696,Data Scientist,Razorpay,"Kolkata, West Bengal",6.7
CAND_0006418,0.6519,0.7557,0.3333,0.85,0.6705,Machine Learning Engineer,Verloop.io,"Gurgaon, Haryana",5.7
CAND_0040186,0.6518,0.706,0.4167,1.0,0.5025,Operations Manager,Initech,"Noida, Uttar Pradesh",8.1
CAND_0088703,0.6517,0.7136,0.4167,1.0,0.489,Customer Support,Dunder Mifflin,"Bangalore, Karnataka",5.4
CAND_0094370,0.6512,0.7239,0.4167,0.85,0.6185,Business Analyst,Dunder Mifflin,"Jaipur, Rajasthan",8.4
CAND_0044855,0.6509,0.7651,0.3333,0.85,0.649,Senior Data Scientist,Flipkart,"Coimbatore, Tamil Nadu",6.6
CAND_0011263,0.6504,0.7242,0.25,1.0,0.672,ML Engineer,Ola,"Pune, Maharashtra",5.1
CAND_0008677,0.6504,0.7389,0.25,1.0,0.6465,Senior Software Engineer,PolicyBazaar,"Pune, Maharashtra",5.8
CAND_0096172,0.6504,0.762,0.3333,0.85,0.652,NLP Engineer,Krutrim,"Chennai, Tamil Nadu",5.2
CAND_0092498,0.65,0.6965,0.4167,1.0,0.51,Sales Executive,Initech,"Delhi, Delhi",5.7
CAND_0000859,0.65,0.716,0.25,1.0,0.6845,Senior Software Engineer,Vedantu,"Delhi, Delhi",5.9
CAND_0064615,0.6499,0.6904,0.4167,0.85,0.6705,Marketing Manager,Globex Inc,"Vizag, Andhra Pradesh",8.1
CAND_0006821,0.6499,0.7753,0.4167,0.85,0.522,Senior Software Engineer (ML),Unacademy,"Kolkata, West Bengal",5.0
CAND_0040117,0.6496,0.7723,0.3333,0.85,0.63,Recommendation Systems Engineer,PhonePe,"Vizag, Andhra Pradesh",6.5
CAND_0052459,0.6495,0.6922,0.4167,1.0,0.5155,Graphic Designer,Acme Corp,"Pune, Maharashtra",7.1
CAND_0074735,0.6495,0.749,0.3333,0.85,0.67,Applied ML Engineer,Rephrase.ai,"Chandigarh, Chandigarh",5.5
CAND_0007596,0.6492,0.7397,0.3333,0.8,0.735,Junior ML Engineer,Flipkart,"Delhi, Delhi",4.4
CAND_0037980,0.6489,0.8074,0.25,0.85,0.669,Senior Applied Scientist,Niramai,"Kolkata, West Bengal",9.0
CAND_0009734,0.6487,0.6915,0.4167,1.0,0.5125,Accountant,Wayne Enterprises,"Pune, Maharashtra",8.6
CAND_0026162,0.6486,0.6898,0.4167,1.0,0.515,Business Analyst,Initech,"Bangalore, Karnataka",5.4
CAND_0038382,0.6486,0.7281,0.4167,1.0,0.448,HR Manager,Wayne Enterprises,"Bangalore, Karnataka",7.0
CAND_0078635,0.6485,0.723,0.3333,1.0,0.5605,Software Engineer,Tech Mahindra,"Noida, Uttar Pradesh",7.9
CAND_0027450,0.6483,0.7272,0.4167,1.0,0.448,Civil Engineer,Acme Corp,"Pune, Maharashtra",7.5
CAND_0017722,0.6483,0.7138,0.25,1.0,0.68,Data Scientist,Saarthi.ai,"Noida, Uttar Pradesh",5.7
CAND_0079407,0.6483,0.7432,0.4167,0.85,0.57,Project Manager,Acme Corp,"Bhubaneswar, Odisha",7.5
CAND_0062561,0.6481,0.7409,0.25,0.85,0.7815,ML Engineer,Razorpay,"Bhubaneswar, Odisha",5.9
CAND_0029367,0.648,0.7652,0.1667,1.0,0.6925,Senior Data Scientist,Rephrase.ai,"Bangalore, Karnataka",5.7
CAND_0068410,0.6479,0.7635,0.3333,0.85,0.637,Senior Software Engineer (ML),Unacademy,"Ahmedabad, Gujarat",5.8
CAND_0059839,0.6478,0.7363,0.4167,0.8,0.6295,Civil Engineer,Initech,"Delhi, Delhi",9.5
CAND_0050876,0.6477,0.7575,0.25,0.85,0.7505,Applied ML Engineer,Freshworks,"Kolkata, West Bengal",6.0
CAND_0034798,0.6475,0.7263,0.4167,1.0,0.4455,Marketing Manager,Wayne Enterprises,"Mumbai, Maharashtra",6.6
CAND_0007914,0.6474,0.709,0.3333,1.0,0.5795,Analytics Engineer,Mphasis,"Bangalore, Karnataka",5.1
CAND_0011125,0.6474,0.7316,0.3333,1.0,0.54,Junior ML Engineer,Wysa,"Bangalore, Karnataka",6.6
CAND_0035879,0.6472,0.7507,0.3333,0.8,0.7055,AI Research Engineer,Krutrim,"Noida, Uttar Pradesh",4.5
CAND_0048413,0.647,0.725,0.25,1.0,0.6535,Analytics Engineer,Zomato,"Hyderabad, Telangana",5.3
CAND_0038368,0.647,0.7421,0.25,1.0,0.624,ML Engineer,PhonePe,"Hyderabad, Telangana",5.4
CAND_0070653,0.647,0.7555,0.25,1.0,0.6005,AI Specialist,Dream11,"Delhi, Delhi",5.0
CAND_0064888,0.6468,0.7325,0.25,0.85,0.7895,ML Engineer,Verloop.io,"Vizag, Andhra Pradesh",5.8
CAND_0045064,0.6467,0.6935,0.4167,1.0,0.499,HR Manager,Initech,"Delhi, Delhi",7.8
CAND_0076952,0.6465,0.7282,0.3333,1.0,0.5415,Business Analyst,Pied Piper,"Noida, Uttar Pradesh",6.2
CAND_0010541,0.6465,0.7633,0.25,1.0,0.5845,AI Research Engineer,Wysa,"Hyderabad, Telangana",6.2
CAND_0081686,0.6463,0.7753,0.4167,0.7,0.654,Search Engineer,Netflix,Austin,6.0
CAND_0084878,0.6462,0.7394,0.3333,1.0,0.5205,Operations Manager,Acme Corp,"Mumbai, Maharashtra",6.4
CAND_0088457,0.6461,0.716,0.4167,1.0,0.4565,Marketing Manager,Acme Corp,"Delhi, Delhi",5.6
CAND_0070496,0.6461,0.7121,0.25,1.0,0.672,Senior Software Engineer,PolicyBazaar,"Delhi, Delhi",6.0
CAND_0019288,0.646,0.7658,0.1667,1.0,0.6815,AI Research Engineer,Paytm,"Noida, Uttar Pradesh",5.7
CAND_0024921,0.6459,0.6744,0.4167,0.85,0.6785,Data Engineer,PharmEasy,"Chennai, Tamil Nadu",7.4
CAND_0052994,0.6459,0.7053,0.4167,0.85,0.6245,HR Manager,Stark Industries,"Gurgaon, Haryana",6.6
CAND_0097079,0.6458,0.7479,0.25,0.85,0.7575,Computer Vision Engineer,Freshworks,"Jaipur, Rajasthan",5.7
CAND_0073874,0.6453,0.7089,0.3333,1.0,0.5695,Operations Manager,Pied Piper,"Noida, Uttar Pradesh",6.5
CAND_0075439,0.6453,0.7493,0.4167,0.65,0.7445,Machine Learning Engineer,Flipkart,"Vizag, Andhra Pradesh",4.3
CAND_0082086,0.6451,0.7852,0.0833,1.0,0.747,Senior Software Engineer (ML),Razorpay,"Delhi, Delhi",6.0
CAND_0056262,0.6447,0.7424,0.3333,1.0,0.5075,Junior ML Engineer,Swiggy,"Bangalore, Karnataka",6.0
CAND_0012957,0.6445,0.8013,0.4167,0.65,0.6495,Search Engineer,Razorpay,"Chennai, Tamil Nadu",4.9
CAND_0011327,0.6444,0.745,0.25,0.85,0.756,AI Research Engineer,Krutrim,"Gurgaon, Haryana",6.3
