candidate_id,rank,score,reasoning
CAND_0041610,29,0.347,"Recommendation Systems Engineer at Zoho (6.7y, Indore, Madhya Pradesh). Score 0.690; top skills: OpenCV, LoRA, Statistical Modeling, Data Science. Notice 30d, response rate 52%."
CAND_0096142,30,0.3453,"Applied ML Engineer at upGrad (5.0y, Hyderabad, Telangana). Score 0.690; top skills: Kubeflow, LoRA, Weaviate, Pinecone. Notice 120d, response rate 84%."
CAND_0070398,31,0.34,"Machine Learning Engineer at Genpact AI (7.2y, Kochi, Kerala). Score 0.689; top skills: Image Classification, Data Science, BM25, RAG. Notice 120d, response rate 60%."
CAND_0037566,32,0.333,"Machine Learning Engineer at LinkedIn (6.9y, Bangalore, Karnataka). Score 0.688; top skills: Pinecone, Time Series, LlamaIndex, NLP. Notice 15d, response rate 50%."
CAND_0005260,33,0.3287,"Senior NLP Engineer at Netflix (5.2y, Chennai, Tamil Nadu). Score 0.688; top skills: Statistical Modeling, MLOps, Snowflake, Prompt Engineering. Notice 60d, response rate 86%."
CAND_0062247,34,0.3226,"AI Engineer at Google (7.3y, Kochi, Kerala). Score 0.687; top skills: Image Classification, OpenCV, Reinforcement Learning, ASR. Notice 30d, response rate 78%."
CAND_0046459,35,0.3156,"AI Research Engineer at upGrad (4.5y, Pune, Maharashtra). Score 0.686; top skills: Kubeflow, Django, BM25, Qdrant. Notice 30d, response rate 84%."
CAND_0008295,36,0.3147,"AI Research Engineer at Razorpay (6.5y, Pune, Maharashtra). Score 0.686; top skills: BM25, Kubernetes, Python, PEFT. Notice 45d, response rate 89%."
CAND_0079387,37,0.3095,"AI Engineer at Microsoft (6.9y, Trivandrum, Kerala). Score 0.686; top skills: scikit-learn, Recommendation Systems, Python, Time Series. Notice 30d, response rate 81%."
CAND_0005649,38,0.3086,"Senior Data Scientist at Sarvam AI (7.4y, Delhi, Delhi). Score 0.686; top skills: Haystack, Redis, Prompt Engineering, Object Detection. Notice 90d, response rate 57%."
CAND_0030468,39,0.3025,"Senior Applied Scientist at Swiggy (5.4y, Indore, Madhya Pradesh). Score 0.685; top skills: Information Retrieval Systems, Content Matching, Text Encoders, TensorFlow. Notice 45d, response rate 78%."
CAND_0052682,40,0.3025,"NLP Engineer at Aganitha (6.6y, Vizag, Andhra Pradesh). Score 0.685; top skills: Statistical Modeling, QLoRA, Semantic Search, FAISS. Notice 30d, response rate 88%."
CAND_0036184,41,0.3016,"Recommendation Systems Engineer at CRED (6.0y, Trivandrum, Kerala). Score 0.685; top skills: Image Classification, QLoRA, FAISS, GANs. Notice 30d, response rate 90%."
CAND_0043860,42,0.2929,"Junior ML Engineer at Aganitha (6.1y, Bhubaneswar, Odisha). Score 0.684; top skills: pgvector, Feature Engineering, Object Detection, Semantic Search. Notice 30d, response rate 81%."
CAND_0045250,43,0.2842,"Applied ML Engineer at Rephrase.ai (6.6y, Delhi, Delhi). Score 0.683; top skills: Sentence Transformers, Milvus, LoRA, Embeddings. Notice 15d, response rate 74%."
CAND_0052328,44,0.2711,"Recommendation Systems Engineer at Amazon (6.5y, Pune, Maharashtra). Score 0.681; top skills: Object Detection, LoRA, OpenSearch, Reinforcement Learning. Notice 30d, response rate 79%."
CAND_0055905,45,0.2685,"Senior Machine Learning Engineer at Flipkart (8.1y, London). Score 0.681; top skills: Elasticsearch, ASR, Hugging Face Transformers, Haystack. Notice 30d, response rate 87%."
CAND_0081852,46,0.2623,"Senior Data Scientist at Mad Street Den (5.9y, Delhi, Delhi). Score 0.680; top skills: Salesforce CRM, Semantic Search, TTS, Milvus. Notice 45d, response rate 44%."
CAND_0077498,47,0.258,"Senior Software Engineer (ML) at Niramai (5.4y, Ahmedabad, Gujarat). Score 0.680; top skills: Data Science, Speech Recognition, OpenCV, MLflow. Notice 60d, response rate 89%."
CAND_0018888,48,0.2554,"AI Research Engineer at Razorpay (6.5y, Noida, Uttar Pradesh). Score 0.679; top skills: Diffusion Models, GANs, MLflow, BentoML. Notice 30d, response rate 55%."
CAND_0018701,49,0.2536,"Junior ML Engineer at Krutrim (6.0y, Delhi, Delhi). Score 0.679; top skills: Elasticsearch, MLflow, YOLO, Information Retrieval. Notice 60d, response rate 71%."
CAND_0024878,50,0.2484,"AI Specialist at HCL (5.7y, Vizag, Andhra Pradesh). Score 0.679; top skills: BM25, pgvector, Databricks, OpenCV. Notice 60d, response rate 84%."
CAND_0008425,51,0.2466,"Senior NLP Engineer at Ola (7.8y, Kolkata, West Bengal). Score 0.678; top skills: Learning to Rank, Qdrant, Weights & Biases, pgvector. Notice 90d, response rate 66%."
CAND_0037160,52,0.2405,"Data Scientist at Haptik (6.0y, Mumbai, Maharashtra). Score 0.678; top skills: TTS, Deep Learning, LLMs, Weaviate. Notice 30d, response rate 74%."
CAND_0048558,53,0.2397,"Data Scientist at Rephrase.ai (6.7y, Noida, Uttar Pradesh). Score 0.678; top skills: Information Retrieval, OpenSearch, Qdrant, GANs. Notice 30d, response rate 80%."
CAND_0093912,54,0.2379,"Senior Data Scientist at Razorpay (5.3y, Chandigarh, Chandigarh). Score 0.677; top skills: Feature Engineering, SAP, CNN, Milvus. Notice 30d, response rate 66%."
CAND_0070514,55,0.23,"AI Specialist at Glance (5.5y, Bangalore, Karnataka). Score 0.677; top skills: Webpack, BentoML, MLflow, Pinecone. Notice 60d, response rate 80%."
CAND_0062413,56,0.2274,"AI Research Engineer at upGrad (6.6y, Mumbai, Maharashtra). Score 0.676; top skills: ASR, Diffusion Models, Learning to Rank, Semantic Search. Notice 60d, response rate 71%."
CAND_0025640,57,0.2248,"AI Research Engineer at HCL (5.6y, Jaipur, Rajasthan). Score 0.676; top skills: Semantic Search, PEFT, Information Retrieval, Weights & Biases. Notice 30d, response rate 87%."
CAND_0070525,58,0.2222,"Senior Software Engineer (ML) at Mad Street Den (5.4y, Hyderabad, Telangana). Score 0.676; top skills: Apache Beam, Recommendation Systems, Feature Engineering, Python. Notice 45d, response rate 93%."
CAND_0068811,59,0.2074,"Applied ML Engineer at Freshworks (8.0y, Pune, Maharashtra). Score 0.674; top skills: Data Science, Vector Search, Speech Recognition, TTS. Notice 30d, response rate 42%."
CAND_0030946,60,0.2047,"Junior ML Engineer at Yellow.ai (6.7y, Mumbai, Maharashtra). Score 0.674; top skills: BM25, Learning to Rank, Diffusion Models, Machine Learning. Notice 60d, response rate 38%."
CAND_0070202,61,0.1995,"Machine Learning Engineer at BYJU'S (5.1y, Jaipur, Rajasthan). Score 0.673; top skills: Microservices, Object Detection, OpenCV, Embeddings. Notice 90d, response rate 60%."
CAND_0010257,62,0.1986,"Senior Data Scientist at Google (6.5y, Noida, Uttar Pradesh). Score 0.673; top skills: Milvus, TensorFlow, MLflow, Python. Notice 120d, response rate 72%."
CAND_0099806,63,0.1978,"AI Engineer at Mad Street Den (4.6y, Bhubaneswar, Odisha). Score 0.673; top skills: LoRA, OpenCV, Statistical Modeling, RAG. Notice 30d, response rate 76%."
CAND_0042506,64,0.1951,"Search Engineer at Verloop.io (4.2y, Mumbai, Maharashtra). Score 0.673; top skills: PEFT, TTS, scikit-learn, OpenCV. Notice 15d, response rate 48%."
CAND_0018094,65,0.1934,"ML Engineer at Mad Street Den (5.2y, Bangalore, Karnataka). Score 0.672; top skills: Semantic Search, Feature Engineering, Speech Recognition, QLoRA. Notice 45d, response rate 69%."
CAND_0075574,66,0.1864,"Machine Learning Engineer at Haptik (5.7y, Bangalore, Karnataka). Score 0.672; top skills: Hugging Face Transformers, pgvector, Weaviate, Recommendation Systems. Notice 60d, response rate 58%."
CAND_0015578,67,0.1812,"AI Engineer at Zoho (5.4y, Delhi, Delhi). Score 0.671; top skills: Diffusion Models, Embeddings, NLP, Data Science. Notice 90d, response rate 65%."
CAND_0051004,68,0.1812,"Senior Data Scientist at CRED (4.7y, Delhi, Delhi). Score 0.671; top skills: MLflow, Embeddings, Semantic Search, PyTorch. Notice 15d, response rate 41%."
CAND_0024620,69,0.1794,"AI Engineer at PharmEasy (5.9y, New York). Score 0.671; top skills: Statistical Modeling, Object Detection, Semantic Search, BM25. Notice 45d, response rate 41%."
CAND_0086022,70,0.1794,"Senior Applied Scientist at Sarvam AI (5.3y, Kolkata, West Bengal). Score 0.671; top skills: Vector Search, MLflow, Recommendation Systems, Databricks. Notice 0d, response rate 55%."
CAND_0080766,71,0.1777,"Staff Machine Learning Engineer at Salesforce (8.8y, Coimbatore, Tamil Nadu). Score 0.671; top skills: Search Backend, LoRA, Vue.js, Tally. Notice 0d, response rate 66%."
CAND_0073007,72,0.1716,"AI Specialist at Aganitha (5.8y, Bangalore, Karnataka). Score 0.670; top skills: Milvus, BentoML, PyTorch, Embeddings. Notice 60d, response rate 83%."
CAND_0010603,73,0.1707,"ML Engineer at BYJU'S (5.3y, Bangalore, Karnataka). Score 0.670; top skills: Information Retrieval, TTS, OpenSearch, Image Classification. Notice 90d, response rate 94%."
CAND_0083307,74,0.169,"Search Engineer at CRED (7.8y, Vizag, Andhra Pradesh). Score 0.670; top skills: OpenCV, scikit-learn, Embeddings, Image Classification. Notice 120d, response rate 70%."
CAND_0042029,75,0.1646,"Senior Data Scientist at Flipkart (6.5y, Delhi, Delhi). Score 0.669; top skills: YOLO, PyTorch, NLP, RAG. Notice 45d, response rate 67%."
CAND_0094292,76,0.1637,"AI Specialist at Vedantu (6.5y, Mumbai, Maharashtra). Score 0.669; top skills: Computer Vision, gRPC, Diffusion Models, LLMs. Notice 60d, response rate 53%."
CAND_0020954,77,0.1489,"Senior Software Engineer at Swiggy (7.1y, Pune, Maharashtra). Score 0.667; top skills: Angular, Data Science, Docker, BentoML. Notice 90d, response rate 72%."
CAND_0033445,78,0.1471,"ML Engineer at Vedantu (6.8y, Ahmedabad, Gujarat). Score 0.667; top skills: Deep Learning, Image Classification, Agile, Information Retrieval. Notice 30d, response rate 94%."
CAND_0095528,79,0.1471,"Senior Data Scientist at Netflix (5.3y, Indore, Madhya Pradesh). Score 0.667; top skills: Feature Engineering, OpenSearch, PyTorch, Semantic Search. Notice 45d, response rate 55%."
CAND_0007460,80,0.1463,"AI Engineer at Salesforce (4.7y, Pune, Maharashtra). Score 0.667; top skills: LangChain, PEFT, Embeddings, Haystack. Notice 120d, response rate 48%."
CAND_0098952,81,0.1463,"AI Research Engineer at CRED (5.5y, Gurgaon, Haryana). Score 0.667; top skills: Airflow, Recommendation Systems, Statistical Modeling, Redis. Notice 45d, response rate 66%."
CAND_0022870,82,0.1445,"AI Specialist at HCL (6.7y, Ahmedabad, Gujarat). Score 0.667; top skills: Image Classification, Information Retrieval, Feature Engineering, Speech Recognition. Notice 60d, response rate 44%."
CAND_0050454,83,0.1445,"AI Engineer at Rephrase.ai (6.8y, Delhi, Delhi). Score 0.667; top skills: PyTorch, LangChain, QLoRA, Fine-tuning LLMs. Notice 30d, response rate 77%."
CAND_0005538,84,0.1401,"Senior AI Engineer at Adobe (5.9y, Kolkata, West Bengal). Score 0.666; top skills: Project Management, Vector Representations, Deep Learning, Content Matching. Notice 90d, response rate 81%."
CAND_0011162,85,0.1375,"Recommendation Systems Engineer at upGrad (5.8y, Coimbatore, Tamil Nadu). Score 0.666; top skills: Weights & Biases, FAISS, Vector Search, LangChain. Notice 90d, response rate 75%."
CAND_0071321,86,0.1279,"Senior Software Engineer at Meesho (6.4y, Bangalore, Karnataka). Score 0.665; top skills: CNN, Feature Engineering, Azure, Time Series. Notice 60d, response rate 59%."
CAND_0005311,87,0.1271,"AI Research Engineer at Aganitha (5.7y, Mumbai, Maharashtra). Score 0.665; top skills: LoRA, Feature Engineering, BentoML, Prompt Engineering. Notice 30d, response rate 29%."
CAND_0072688,88,0.1271,"Data Scientist at Niramai (6.9y, Pune, Maharashtra). Score 0.665; top skills: Milvus, Apache Flink, Data Science, Time Series. Notice 45d, response rate 87%."
CAND_0089947,89,0.1271,"Junior ML Engineer at Saarthi.ai (5.4y, Noida, Uttar Pradesh). Score 0.665; top skills: CNN, Excel, Vector Search, Elasticsearch. Notice 90d, response rate 59%."
CAND_0092255,90,0.1227,"ML Engineer at InMobi (5.2y, Noida, Uttar Pradesh). Score 0.664; top skills: Machine Learning, PyTorch, Statistical Modeling, Figma. Notice 60d, response rate 38%."
CAND_0046924,91,0.1192,"Computer Vision Engineer at PharmEasy (6.3y, Noida, Uttar Pradesh). Score 0.664; top skills: Feature Engineering, Kubeflow, RAG, Recommendation Systems. Notice 120d, response rate 61%."
CAND_0081480,92,0.1183,"Computer Vision Engineer at Sarvam AI (5.6y, Noida, Uttar Pradesh). Score 0.664; top skills: BM25, ASR, BentoML, GANs. Notice 60d, response rate 85%."
CAND_0082973,93,0.1157,"AI Specialist at Genpact AI (6.4y, Chandigarh, Chandigarh). Score 0.663; top skills: Go, ASR, Image Classification, Prompt Engineering. Notice 60d, response rate 54%."
CAND_0073314,94,0.1148,"Senior Software Engineer (ML) at Aganitha (5.2y, Noida, Uttar Pradesh). Score 0.663; top skills: BentoML, Prompt Engineering, Feature Engineering, Weights & Biases. Notice 60d, response rate 84%."
CAND_0079064,95,0.1079,"Senior Data Scientist at Niramai (5.2y, Noida, Uttar Pradesh). Score 0.663; top skills: Illustrator, LlamaIndex, OpenSearch, NLP. Notice 120d, response rate 91%."
CAND_0030784,96,0.107,"Data Scientist at Yellow.ai (4.4y, Delhi, Delhi). Score 0.662; top skills: Embeddings, Learning to Rank, Apache Beam, RAG. Notice 90d, response rate 90%."
CAND_0013440,97,0.1052,"Senior Data Engineer at upGrad (7.2y, Noida, Uttar Pradesh). Score 0.662; top skills: SQL, Spark, GANs, CSS. Notice 30d, response rate 68%."
CAND_0068932,98,0.1017,"ML Engineer at Krutrim (5.2y, Noida, Uttar Pradesh). Score 0.662; top skills: Marketing, JavaScript, Agile, MLOps. Notice 30d, response rate 82%."
CAND_0098780,99,0.1009,"AI Research Engineer at Zomato (5.9y, Bangalore, Karnataka). Score 0.662; top skills: Six Sigma, Semantic Search, Sentence Transformers, Milvus. Notice 60d, response rate 57%."
CAND_0067717,100,0.1,"AI Specialist at Aganitha (6.9y, Noida, Uttar Pradesh). Score 0.662; top skills: Hugging Face Transformers, Marketing, FAISS, PyTorch. Notice 60d, response rate 39%."
